scenario,model,trial,elapsed_sec,rbac_patch,netpol_patch,podsec_patch,confidence,prompt_tokens,completion_tokens,total_tokens,input_cost_usd,output_cost_usd,total_cost_usd
RBAC_PODSEC,gemini-2.0-flash,1,4,true,false,true,0.9,64,247,311,0.00002240,0.00025935,0.00028175
RBAC_PODSEC,gemini-2.0-flash,2,3,true,false,true,0.9,64,236,300,0.00002240,0.00024780,0.00027020
RBAC_PODSEC,gemini-2.0-flash,3,3,true,false,true,0.9,64,245,309,0.00002240,0.00025725,0.00027965
RBAC_PODSEC,gemini-2.0-flash,4,4,true,false,true,0.9,64,243,307,0.00002240,0.00025515,0.00027755
RBAC_PODSEC,gemini-2.0-flash,5,4,true,false,true,0.9,64,289,353,0.00002240,0.00030345,0.00032585
RBAC_PODSEC,gemini-2.0-flash,6,3,true,false,true,0.9,64,252,316,0.00002240,0.00026460,0.00028700
RBAC_PODSEC,gemini-2.0-flash,7,4,true,false,true,0.9,64,250,314,0.00002240,0.00026250,0.00028490
RBAC_PODSEC,gemini-2.0-flash,8,4,true,false,true,0.9,64,257,321,0.00002240,0.00026985,0.00029225
RBAC_PODSEC,gemini-2.0-flash,9,3,true,false,true,0.9,64,272,336,0.00002240,0.00028560,0.00030800
RBAC_PODSEC,gemini-2.0-flash,10,4,true,false,true,0.9,64,243,307,0.00002240,0.00025515,0.00027755
