scenario,model,elapsed_sec,rbac_patch,netpol_patch,podsec_patch,confidence,status
RBAC_PODSEC,gemini-2.0-flash,4,,,,,OK
RBAC_PODSEC,gemini-2.0-flash,4,,,,,OK
RBAC_PODSEC,gemini-2.0-flash,4,,,,,OK
RBAC_PODSEC,gemini-2.0-flash,4,,,,,OK
RBAC_PODSEC,gemini-2.0-flash,3,,,,,OK
RBAC_PODSEC,gemini-2.0-flash,3,,,,,OK
RBAC_PODSEC,gemini-2.0-flash,4,,,,,OK
RBAC_PODSEC,gemini-2.0-flash,4,,,,,OK
RBAC_PODSEC,gemini-2.0-flash,3,,,,,OK
RBAC_PODSEC,gemini-2.0-flash,4,,,,,OK
NETPOL,gemini-2.0-flash,4,,,,,OK
NETPOL,gemini-2.0-flash,4,,,,,OK
NETPOL,gemini-2.0-flash,3,,,,,OK
NETPOL,gemini-2.0-flash,4,,,,,OK
NETPOL,gemini-2.0-flash,4,,,,,OK
NETPOL,gemini-2.0-flash,4,,,,,OK
NETPOL,gemini-2.0-flash,4,,,,,OK
NETPOL,gemini-2.0-flash,4,,,,,OK
NETPOL,gemini-2.0-flash,4,,,,,OK
NETPOL,gemini-2.0-flash,4,,,,,OK
PODSEC_ONLY,gemini-2.0-flash,5,,,,,OK
PODSEC_ONLY,gemini-2.0-flash,4,,,,,OK
PODSEC_ONLY,gemini-2.0-flash,3,,,,,OK
PODSEC_ONLY,gemini-2.0-flash,1,,,,,OK
PODSEC_ONLY,gemini-2.0-flash,3,,,,,OK
PODSEC_ONLY,gemini-2.0-flash,4,,,,,OK
PODSEC_ONLY,gemini-2.0-flash,1,,,,,OK
PODSEC_ONLY,gemini-2.0-flash,1,,,,,OK
PODSEC_ONLY,gemini-2.0-flash,3,,,,,OK
PODSEC_ONLY,gemini-2.0-flash,1,,,,,OK
