scenario,model,elapsed_sec,rbac_patch,netpol_patch,podsec_patch,confidence,status
RBAC_PODSEC,gemini-2.0-flash,4,true,false,true,0.9,OK
RBAC_PODSEC,gemini-2.0-flash,3,true,false,true,0.9,OK
RBAC_PODSEC,gemini-2.0-flash,3,true,false,true,0.9,OK
RBAC_PODSEC,gemini-2.0-flash,6,true,false,true,0.9,OK
RBAC_PODSEC,gemini-2.0-flash,4,true,false,true,0.9,OK
RBAC_PODSEC,gemini-2.0-flash,3,true,false,true,0.9,OK
RBAC_PODSEC,gemini-2.0-flash,3,true,false,true,0.9,OK
RBAC_PODSEC,gemini-2.0-flash,3,true,false,true,0.9,OK
RBAC_PODSEC,gemini-2.0-flash,4,true,false,true,0.9,OK
RBAC_PODSEC,gemini-2.0-flash,3,true,false,true,0.9,OK
NETPOL,gemini-2.0-flash,3,true,false,true,0.9,OK
NETPOL,gemini-2.0-flash,3,true,false,true,0.9,OK
NETPOL,gemini-2.0-flash,4,true,false,true,0.9,OK
NETPOL,gemini-2.0-flash,4,true,false,true,0.9,OK
NETPOL,gemini-2.0-flash,3,true,false,true,0.9,OK
NETPOL,gemini-2.0-flash,4,true,false,true,0.9,OK
NETPOL,gemini-2.0-flash,3,true,false,true,0.9,OK
NETPOL,gemini-2.0-flash,4,true,false,true,0.9,OK
NETPOL,gemini-2.0-flash,4,true,false,true,0.9,OK
NETPOL,gemini-2.0-flash,4,true,false,true,0.9,OK
PODSEC_ONLY,gemini-2.0-flash,6,false,false,true,0.9,OK
PODSEC_ONLY,gemini-2.0-flash,1,false,false,false,0,PARSE_ERR
PODSEC_ONLY,gemini-2.0-flash,2,false,false,true,0.9,OK
PODSEC_ONLY,gemini-2.0-flash,10,false,false,true,0.9,OK
PODSEC_ONLY,gemini-2.0-flash,2,false,false,false,0,PARSE_ERR
PODSEC_ONLY,gemini-2.0-flash,6,false,false,true,0.9,OK
PODSEC_ONLY,gemini-2.0-flash,6,false,false,true,0.9,OK
